Sunday,Office,Service,Psalms,FirstLesson,SecondLesson
FIRST SUNDAY IN ADVENT,Morning,Prayer,50,Mal. 3:1-6 & 4:4-6,Luke 1:5-25
FIRST SUNDAY IN ADVENT,Evening,Prayer,48; 126,Isa. 62,Matt. 25:1-13
FIRST SUNDAY IN ADVENT,Morning,Communion,46; 97,*Isa. 28:14-22,Heb. 12:14-29
FIRST SUNDAY IN ADVENT,Evening,Communion,18:18-31,Isa. 13:6-13,1 Thes. 5:1-11
SECOND SUNDAY IN ADVENT,Morning,Prayer,25,Isa. 52:1-10,Luke 1:26-56
SECOND SUNDAY IN ADVENT,Evening,Prayer,119:89-104,Amos 3:1-8,1 Thes. 2:1-13
SECOND SUNDAY IN ADVENT,Morning,Communion,119:1-16,*Isa. 55,2 Tim. 3
SECOND SUNDAY IN ADVENT,Evening,Communion,67; 111,Isa. 11:1-10,John 5:25-47
THIRD SUNDAY IN ADVENT,Morning,Prayer,22:23-end; 99,"Jer. 1:4-10, 17-19",Luke 1:57-80
THIRD SUNDAY IN ADVENT,Evening,Prayer,132; 134,"Nahum 1:3-8, 15",1 Cor. 9:7-23
THIRD SUNDAY IN ADVENT,Morning,Communion,85; 107:1-16,*Isa. 35,1 Thes. 5:12-23
THIRD SUNDAY IN ADVENT,Evening,Communion,30; 130,Isa. 26:1-11,Matt. 9:35-10:15
FOURTH SUNDAY IN ADVENT,Morning,Communion,80,*Isa. 40:1-11,Luke 3:1-17
FOURTH SUNDAY IN ADVENT,Evening,Communion,33,"Isa. 40:12-18, 21-31",1 Thes. 3:7-13
FOURTH SUNDAY IN ADVENT,Morning,Prayer,77; 100,Jer. 33:7-16,1 Thes. 1
FOURTH SUNDAY IN ADVENT,Evening,Prayer,102:15-end; 146,Isa. 42:1-16,Matt. 11:11-24
FIRST SUNDAY AFTER CHRISTMAS,Morning,Communion,145,*Isa. 9:2-7,Luke 2:1-20
FIRST SUNDAY AFTER CHRISTMAS,Evening,Communion,27,Isa. 63:7-16,2 Pet. 1:1-12
FIRST SUNDAY AFTER CHRISTMAS,Morning,Prayer,98; 138,Isa. 49:8-13,Heb. 2
FIRST SUNDAY AFTER CHRISTMAS,Evening,Prayer,8; 113,Job 28:12-28,Matt. 11:25-30
SECOND SUNDAY AFTER CHRISTMAS,Morning,Communion,65; 121,*Mic. 4:1-5 & 5:2-4,Luke 2:21-32
SECOND SUNDAY AFTER CHRISTMAS,Evening,Communion,111; 112,"Prov. 9:1-6, 10",2 Cor. 4:1-6
SECOND SUNDAY AFTER CHRISTMAS,Morning,Prayer,89:1-30,"Isa. 44:1-8, 21-23",Col. 2:6-17
SECOND SUNDAY AFTER CHRISTMAS,Evening,Prayer,132,Hag. 2:1-9,Luke 2:34-40
FIRST SUNDAY AFTER EPIPHANY,Morning,Prayer,72; 97,Isa. 60:1-9,Matt. 2:1-12
FIRST SUNDAY AFTER EPIPHANY,Evening,Prayer,84; 122,1 Sam. 1:21-28,Matt. 18:1-14
FIRST SUNDAY AFTER EPIPHANY,Morning,Communion,92; 93,*Prov. 8:22-36,Col. 1:9-29
FIRST SUNDAY AFTER EPIPHANY,Evening,Communion,19; 67,Isa. 49:1-7,1 John 1:1-9
SECOND SUNDAY AFTER EPIPHANY,Morning,Communion,118,"*Zech. 8:1-8, 20-23",1 Cor. 12:12-31a
SECOND SUNDAY AFTER EPIPHANY,Evening,Communion,102:15-end; 117,Isa. 45:1-15,Rom. 9:14-26
SECOND SUNDAY AFTER EPIPHANY,Morning,Prayer,29; 99,Exod. 34:29-35,Mark 9:2-13
SECOND SUNDAY AFTER EPIPHANY,Evening,Prayer,62; 127,Isa. 54:11-17,John 1:35-51
THIRD SUNDAY AFTER EPIPHANY,Morning,Communion,42; 43,"*Isa. 41:8-10, 17-20",John 4:1-14
THIRD SUNDAY AFTER EPIPHANY,Evening,Communion,27; 134,Isa. 56:1-8,John 2:13-22
THIRD SUNDAY AFTER EPIPHANY,Morning,Prayer,11; 12,Deut. 16:18-20 & 17:8-11,James 2:1-13
THIRD SUNDAY AFTER EPIPHANY,Evening,Prayer,103,Isa. 54:1-8,Rom. 14:1-15:3
FOURTH SUNDAY AFTER EPIPHANY,Morning,Prayer,66,Isa. 61,Luke 4:16-32
FOURTH SUNDAY AFTER EPIPHANY,Evening,Prayer,145,Isa. 45:20-25,Rom. 10
FOURTH SUNDAY AFTER EPIPHANY,Morning,Communion,18:1-20,"*Deut. 4:5-13, 32-40",Eph. 2
FOURTH SUNDAY AFTER EPIPHANY,Evening,Communion,30; 36:5-end,Dan. 10:10-19,Mark 6:45-56
FIFTH SUNDAY AFTER EPIPHANY,Morning,Prayer,15; 85,Ruth 1:1-17,Col. 3:5-11
FIFTH SUNDAY AFTER EPIPHANY,Evening,Prayer,21; 22:23-end,Joel 3:9-17,Matt. 13:36-52
FIFTH SUNDAY AFTER EPIPHANY,Morning,Communion,112; 113,"*Hab. 1:12-2:4, 9-14",Luke 12:35-48
FIFTH SUNDAY AFTER EPIPHANY,Evening,Communion,7,Amos 5:14-24,Gal. 6:1-10
SIXTH SUNDAY AFTER EPIPHANY,Morning,Prayer,138,Isa. 2:6-19,Matt. 25:14-29
SIXTH SUNDAY AFTER EPIPHANY,Evening,Prayer,9,"Gen. 19:1-3, 12-17, 24-28",Luke 17:20-37
SIXTH SUNDAY AFTER EPIPHANY,Morning,Communion,93; 98,"*Isa. 66:1-2, 10-24",2 Thes. 1
SIXTH SUNDAY AFTER EPIPHANY,Evening,Communion,76; 96,Deut. 31:14-29,2 Pet. 3:1-18
SEPTUAGESIMA SUNDAY,Morning,Communion,20; 121,*Josh. 1:1-9,2 Tim. 2:1-13
SEPTUAGESIMA SUNDAY,Evening,Communion,144,Deut. 4:1-13,1 Tim. 6:11-19
SEPTUAGESIMA SUNDAY,Morning,Prayer,1; 125,Ezek. 3:4-11,Matt. 5:1-16
SEPTUAGESIMA SUNDAY,Evening,Prayer,80,Isa. 5:1-7,Matt. 21:23-32
SEXAGESIMA SUNDAY,Morning,Communion,71,*Isa. 50:4-10,2 Cor. 12:1-12
SEXAGESIMA SUNDAY,Evening,Communion,147,Eccl. 11:1-6,John 4:31-38
SEXAGESIMA SUNDAY,Morning,Prayer,33,Isa. 30:8-21,Mark 4:26-34
SEXAGESIMA SUNDAY,Evening,Prayer,37:26-end; 124,Dan. 3:1-26,"Matt. 10:16-23, 40-42"
QUINQUAGESIMA SUNDAY,Morning,Prayer,103,Isa. 5:1-16,John 15:1-17
QUINQUAGESIMA SUNDAY,Evening,Prayer,119:33-48,"Lev. 19:1-2, 9-18",1 John 4
QUINQUAGESIMA SUNDAY,Morning,Communion,19; 23,*Deut. 10:12-11:1,1 John 2:1-17
QUINQUAGESIMA SUNDAY,Evening,Communion,139,Isa. 51:1-8,Mark 9:14-32
FIRST SUNDAY IN LENT,Morning,Communion,50,*Isa. 58,Matt. 6:1-18
FIRST SUNDAY IN LENT,Evening,Communion,15; 92,Jer. 17:5-14,1 Cor. 10:1-13
FIRST SUNDAY IN LENT,Morning,Prayer,3; 62,Mic. 7:1-9,Rom. 7:14-25
FIRST SUNDAY IN LENT,Evening,Prayer,"69:1-19, 30-end",Dan. 9:3-10,Luke 5:33-6:10
SECOND SUNDAY IN LENT,Morning,Communion,86; 142,*1 Ki. 8:37-43,Col. 3:12-17
SECOND SUNDAY IN LENT,Evening,Communion,26; 119:1-16,"2 Sam. 12:1-10, 13-14",1 Cor. 6:9-20
SECOND SUNDAY IN LENT,Morning,Prayer,30; 32,"Ezek. 18:1-4, 25-32",Matt. 5:27-37
SECOND SUNDAY IN LENT,Evening,Prayer,31,Hab. 2:1-14,Luke 18:1-8
THIRD SUNDAY IN LENT,Morning,Communion,25,"*Deut. 6:1-9, 20-25",1 Cor. 3
THIRD SUNDAY IN LENT,Evening,Communion,119:113-128,Amos 5:4-15,Gal. 5:16-24
THIRD SUNDAY IN LENT,Morning,Prayer,34,"Zech. 1:1-6, 12-17",Mark 8:27-9:1
THIRD SUNDAY IN LENT,Evening,Prayer,143; 27,Prov. 4:7-18,Luke 11:29-36
FOURTH SUNDAY IN LENT,Morning,Prayer,147,Exod. 16:4-15,John 6:27-40
FOURTH SUNDAY IN LENT,Evening,Prayer,116,Isa. 55,John 6:41-51
FOURTH SUNDAY IN LENT,Morning,Communion,18:1-20,*Ezek. 39:21-29,2 Cor. 3:12-18
FOURTH SUNDAY IN LENT,Evening,Communion,46; 122,Prov. 3:1-26,Rev. 3:1-13
FIFTH SUNDAY IN LENT,Morning,Communion,51,*Isa. 1:10-20,1 Pet. 4:12-19
FIFTH SUNDAY IN LENT,Evening,Communion,42; 43,Hos. 6:1-6,Heb. 10:1-25
FIFTH SUNDAY IN LENT,Morning,Prayer,71,Deut. 18:15-22,Luke 20:9-18
FIFTH SUNDAY IN LENT,Evening,Prayer,40:1-16,Jer. 14:7-21,John 10:17-38
SIXTH SUNDAY IN LENT,Morning,Communion,24; 97,*Zech. 9:9-12,Mark 11:1-11
SIXTH SUNDAY IN LENT,Evening,Communion,130; 138,"Jer. 8:9-15, 18-9:1",1 Cor. 1:17-31
SIXTH SUNDAY IN LENT,Morning,Prayer,22,Isa. 52:13-53:12,Matt. 26
SIXTH SUNDAY IN LENT,Evening,Prayer,77,"Isa. 59:1-3, 9-21",John 12:20-36
EASTER DAY,Morning,Communion,93; 111,*Isa. 25:1-9,"Matt. 28:1-10, 16-20"
EASTER DAY,Evening,Communion,98; 114,Isa. 51:9-16,Luke 24:13-35
EASTER DAY,Morning,Prayer,57,Exod. 12:1-14,"Rev. 14:1-7, 12-13"
EASTER DAY,Evening,Prayer,118,Isa. 12,John 20:11-23
FIRST SUNDAY AFTER EASTER,Morning,Prayer,66,Deut. 11:1-15,Rom. 1:1-12
FIRST SUNDAY AFTER EASTER,Evening,Prayer,33,Zeph. 3:14-20,John 20:19-30
FIRST SUNDAY AFTER EASTER,Morning,Communion,103,*Isa. 43:1-12,Luke 24:36-49
FIRST SUNDAY AFTER EASTER,Evening,Communion,30; 121,2 Ki. 4:18-37,Rev. 1:4-18
SECOND SUNDAY,Morning,Communion,23; 146,*Isa. 40:1-11,John 10:1-18
SECOND SUNDAY,Evening,Communion,145,"Ezek. 34:11-16, 30-31",John 21:1-19
AFTER EASTER 34,Morning,Prayer,34,Eccl. 9,Phil. 3:7-16
AFTER EASTER 34,Evening,Prayer,16; 100,Ezek. 20:1-20,1 Cor. 15:12-23
THIRD SUNDAY,Morning,Prayer,36:5-end; 138,2 Sam. 12:15b-23,John 14:1-14
THIRD SUNDAY,Evening,Prayer,68:1-20,"Isa. 26:12-16, 19",2 Cor. 5
AFTER EASTER,Morning,Communion,113; 124,*1 Sam. 2:1b-10,Acts 2:22-36
AFTER EASTER,Evening,Communion,115,Neh. 1,Luke 20:27-39
FOURTH SUNDAY 116,Morning,Communion,116,*Job 19:21-27a,John 12:44-50
FOURTH SUNDAY 116,Evening,Communion,18:1-20,"Dan. 12:1-4, 13",1 Thes. 4:13-18
AFTER EASTER,Morning,Prayer,107:1-16,Ezek. 37:1-14,Acts 3:1-21
AFTER EASTER,Evening,Prayer,27,Isa. 60:13-22,John 8:12-30
FIFTH SUNDAY AFTER EASTER,Morning,Communion,65; 67,*Ezek. 34:25-31,Luke 10:38-11:13
FIFTH SUNDAY AFTER EASTER,Evening,Communion,147,Isa. 48:12-21,Rev. 5
FIFTH SUNDAY AFTER EASTER,Morning,Prayer,118,Deut. 28:1-14,"Acts 4:1-13, 33"
FIFTH SUNDAY AFTER EASTER,Evening,Prayer,144,Ezek. 36:25-38,Mark 11:22-26
SUNDAY AFTER ASCENSION,Morning,Communion,21:1-6; 24,"*Isa. 33:5-6, 17, 20-22",John 17
SUNDAY AFTER ASCENSION,Evening,Communion,93; 96,Zeph. 3:8-17,Eph. 1
SUNDAY AFTER ASCENSION,Morning,Prayer,8; 108,Isa. 4:2-6,Heb. 4:14-5:10
SUNDAY AFTER ASCENSION,Evening,Prayer,46; 47,"Isa. 32:1-4, 15-20","John 3:16-21, 31-36"
