Date,Liturgical_Day,Season,Morning_Psalm_Ref,Morning_OT_Ref,Morning_NT_Ref,Evening_Psalm_Ref,Evening_OT_Ref,Evening_NT_Ref,Omit_Venite,Morning_Canticle_A,Collect_Of_Day_Text
2025-01-01,The Circumcision of Christ,Christmas,,,,,,,FALSE,,
2025-01-02,,Christmastide,,,,,,,False,,
2025-01-03,,Christmastide,,,,,,,False,,
2025-01-04,,Christmastide,,,,,,,False,,
2025-01-05,Sunday after Christmas,Christmastide,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-01-06,The Epiphany,Epiphany,,,,,,,FALSE,,
2025-01-07,,Epiphany,,,,,,,False,,
2025-01-08,,Epiphany,,,,,,,False,,
2025-01-09,,Epiphany,,,,,,,False,,
2025-01-10,,Epiphany,,,,,,,False,,
2025-01-11,,Epiphany,,,,,,,False,,
2025-01-12,1 Sunday after Epiphany,Epiphany,,15; 16,Ezek. 2:1-3:11,Matt. 10:1-22,,,False,,
2025-01-13,,Epiphany,,,,,,,False,,
2025-01-14,,Epiphany,,,,,,,False,,
2025-01-15,,Epiphany,,,,,,,False,,
2025-01-16,,Epiphany,,,,,,,False,,
2025-01-17,,Epiphany,,,,,,,False,,
2025-01-18,,Epiphany,,,,,,,False,,
2025-01-19,2 Sunday after Epiphany,Epiphany,,15; 16,Ezek. 2:1-3:11,Matt. 10:1-22,,,False,,
2025-01-20,,Epiphany,,,,,,,False,,
2025-01-21,,Epiphany,,,,,,,False,,
2025-01-22,,Epiphany,,,,,,,False,,
2025-01-23,,Epiphany,,,,,,,False,,
2025-01-24,,Epiphany,,,,,,,False,,
2025-01-25,The Conversion of St. Paul,Epiphany,,,,,,,FALSE,,
2025-01-26,3 Sunday after Epiphany,Epiphany,,15; 16,Ezek. 2:1-3:11,Matt. 10:1-22,,,False,,
2025-01-27,,Epiphany,,,,,,,False,,
2025-01-28,,Epiphany,,,,,,,False,,
2025-01-29,,Epiphany,,,,,,,False,,
2025-01-30,,Epiphany,,,,,,,False,,
2025-01-31,,Epiphany,,,,,,,False,,
2025-02-01,,,,,,,,,False,,
2025-02-02,The Presentation of Christ (Purification of St. Mary the Virgin),Epiphany,,,,,,,FALSE,,
2025-02-03,,,,,,,,,False,,
2025-02-04,,,,,,,,,False,,
2025-02-05,,,,,,,,,False,,
2025-02-06,,,,,,,,,False,,
2025-02-07,,,,,,,,,False,,
2025-02-08,,,,,,,,,False,,
2025-02-09,5 Sunday after Epiphany,,,15; 16,Ezek. 2:1-3:11,Matt. 10:1-22,,,False,,
2025-02-10,,,,,,,,,False,,
2025-02-11,,,,,,,,,False,,
2025-02-12,,,,,,,,,False,,
2025-02-13,,,,,,,,,False,,
2025-02-14,,,,,,,,,False,,
2025-02-15,,,,,,,,,False,,
2025-02-16,6 Sunday after Epiphany,,,15; 16,Ezek. 2:1-3:11,Matt. 10:1-22,,,False,,
2025-02-17,,,,,,,,,False,,
2025-02-18,,,,,,,,,False,,
2025-02-19,,,,,,,,,False,,
2025-02-20,,,,,,,,,False,,
2025-02-21,,,,,,,,,False,,
2025-02-22,,,,,,,,,False,,
2025-02-23,7 Sunday after Epiphany,,,15; 16,Ezek. 2:1-3:11,Matt. 10:1-22,,,False,,
2025-02-24,,,,,,,,,False,,
2025-02-25,,,,,,,,,False,,
2025-02-26,,,,,,,,,False,,
2025-02-27,,,,,,,,,False,,
2025-02-28,,,,,,,,,False,,
2025-03-01,,,,,,,,,False,,
2025-03-02,8 Sunday after Epiphany,,,15; 16,Ezek. 2:1-3:11,Matt. 10:1-22,,,False,,
2025-03-03,,,,,,,,,False,,
2025-03-04,,,,,,,,,False,,
2025-03-05,,Lent,,,,,,,False,,
2025-03-06,,Lent,,,,,,,False,,
2025-03-07,,Lent,,,,,,,False,,
2025-03-08,,Lent,,,,,,,False,,
2025-03-09,1 Sunday in Lent,Lent,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-03-10,,Lent,,,,,,,False,,
2025-03-11,,Lent,,,,,,,False,,
2025-03-12,,Lent,,,,,,,False,,
2025-03-13,,Lent,,,,,,,False,,
2025-03-14,,Lent,,,,,,,False,,
2025-03-15,,Lent,,,,,,,False,,
2025-03-16,2 Sunday in Lent,Lent,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-03-17,,Lent,,,,,,,False,,
2025-03-18,,Lent,,,,,,,False,,
2025-03-19,,Lent,,,,,,,False,,
2025-03-20,,Lent,,,,,,,False,,
2025-03-21,,Lent,,,,,,,False,,
2025-03-22,,Lent,,,,,,,False,,
2025-03-23,3 Sunday in Lent,Lent,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-03-24,,Lent,,,,,,,False,,
2025-03-25,The Annunciation of the Blessed Virgin Mary,Lent,,,,,,,FALSE,,
2025-03-26,,Lent,,,,,,,False,,
2025-03-27,,Lent,,,,,,,False,,
2025-03-28,,Lent,,,,,,,False,,
2025-03-29,,Lent,,,,,,,False,,
2025-03-30,4 Sunday in Lent,Lent,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-03-31,,Lent,,,,,,,False,,
2025-04-01,,Lent,,,,,,,False,,
2025-04-02,,Lent,,,,,,,False,,
2025-04-03,,Lent,,,,,,,False,,
2025-04-04,,Lent,,,,,,,False,,
2025-04-05,,Lent,,,,,,,False,,
2025-04-06,5 Sunday in Lent,Lent,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-04-07,,Lent,,,,,,,False,,
2025-04-08,,Lent,,,,,,,False,,
2025-04-09,,Lent,,,,,,,False,,
2025-04-10,,Lent,,,,,,,False,,
2025-04-11,,Lent,,,,,,,False,,
2025-04-12,,Lent,,,,,,,False,,
2025-04-13,Palm Sunday,Holy Week,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-04-14,,Holy Week,,,,,,,False,,
2025-04-15,,Holy Week,,,,,,,False,,
2025-04-16,,Holy Week,,,,,,,False,,
2025-04-17,,Holy Week,,,,,,,False,,
2025-04-18,,Holy Week,,,,,,,False,,
2025-04-19,,Holy Week,,,,,,,False,,
2025-04-20,Easter Day,Easter,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-04-21,,Eastertide,,,,,,,False,,
2025-04-22,,Eastertide,,,,,,,False,,
2025-04-23,,Eastertide,,,,,,,False,,
2025-04-24,,Eastertide,,,,,,,False,,
2025-04-25,,Eastertide,,,,,,,False,,
2025-04-26,,Eastertide,,,,,,,False,,
2025-04-27,Second Sunday after Easter,Eastertide,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-04-28,,Eastertide,,,,,,,False,,
2025-04-29,,Eastertide,,,,,,,False,,
2025-04-30,,Eastertide,,,,,,,False,,
2025-05-01,,Eastertide,,,,,,,False,,
2025-05-02,,Eastertide,,,,,,,False,,
2025-05-03,,Eastertide,,,,,,,False,,
2025-05-04,Third Sunday after Easter,Eastertide,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-05-05,,Eastertide,,,,,,,False,,
2025-05-06,,Eastertide,,,,,,,False,,
2025-05-07,,Eastertide,,,,,,,False,,
2025-05-08,,Eastertide,,,,,,,False,,
2025-05-09,,Eastertide,,,,,,,False,,
2025-05-10,,Eastertide,,,,,,,False,,
2025-05-11,Fourth Sunday after Easter,Eastertide,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-05-12,,Eastertide,,,,,,,False,,
2025-05-13,,Eastertide,,,,,,,False,,
2025-05-14,,Eastertide,,,,,,,False,,
2025-05-15,,Eastertide,,,,,,,False,,
2025-05-16,,Eastertide,,,,,,,False,,
2025-05-17,,Eastertide,,,,,,,False,,
2025-05-18,Fifth Sunday after Easter,Eastertide,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-05-19,,Eastertide,,,,,,,False,,
2025-05-20,,Eastertide,,,,,,,False,,
2025-05-21,,Eastertide,,,,,,,False,,
2025-05-22,,Eastertide,,,,,,,False,,
2025-05-23,,Eastertide,,,,,,,False,,
2025-05-24,,Eastertide,,,,,,,False,,
2025-05-25,Sunday after Ascension Day,Eastertide,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-05-26,,Eastertide,,,,,,,False,,
2025-05-27,,Eastertide,,,,,,,False,,
2025-05-28,,Eastertide,,,,,,,False,,
2025-05-29,,Eastertide,,,,,,,False,,
2025-05-30,,Eastertide,,,,,,,False,,
2025-05-31,,Eastertide,,,,,,,False,,
2025-06-01,6 Sunday after Easter,Eastertide,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-06-02,,Eastertide,,,,,,,False,,
2025-06-03,,Eastertide,,,,,,,False,,
2025-06-04,,Eastertide,,,,,,,False,,
